symbol,vintage,p,q,distribution,valid,order,n_train,loglikelihood,n_parameters,BIC,AIC,persistence,selected,evidence
SPY,1996-02,1,1,t,True,1,759,-663.2122484268649,4,1352.9525039633124,1334.4244968537298,0.9647010093195678,True,EXPOSED_HISTORY
SPY,1996-02,1,2,normal,True,2,759,-689.7271052402828,4,1405.9822175901481,1387.4542104805655,0.9608608872174813,False,EXPOSED_HISTORY
SPY,1996-02,1,2,t,True,3,759,-663.2307028479754,5,1359.621414582929,1336.4614056959508,0.9523697047553985,False,EXPOSED_HISTORY
SPY,1996-02,2,1,normal,True,4,759,-689.7316124226805,4,1405.9912319549437,1387.463224845361,0.9704397987910901,False,EXPOSED_HISTORY
SPY,1996-02,2,1,t,True,5,759,-663.1667183543503,5,1359.4934455956788,1336.3334367087007,0.9637294633264666,False,EXPOSED_HISTORY
SPY,1996-03,1,1,normal,True,0,779,-715.5216279101508,3,1451.0172889579137,1437.0432558203015,0.9726627627464159,False,EXPOSED_HISTORY
SPY,1996-03,1,1,t,True,1,779,-691.5541983848791,4,1409.7404409532412,1391.1083967697582,0.9706613796584864,True,EXPOSED_HISTORY
SPY,1996-03,1,2,normal,True,2,779,-715.5216279052319,4,1457.6752999939467,1439.0432558104637,0.972661714842194,False,EXPOSED_HISTORY
SPY,1996-03,1,2,t,True,3,779,-691.5541983813787,5,1416.3984519921112,1393.1083967627574,0.9706602801014681,False,EXPOSED_HISTORY
SPY,1996-03,2,1,normal,True,4,779,-715.5067379555373,4,1457.6455200945577,1439.0134759110747,0.9723496438211235,False,EXPOSED_HISTORY
SPY,1996-03,2,1,t,True,5,779,-691.4564854840302,5,1416.2030261974141,1392.9129709680603,0.969665942276718,False,EXPOSED_HISTORY
SPY,1996-04,1,1,normal,True,0,800,-750.2453653176588,3,1520.5445658183212,1506.4907306353175,0.9763335548364824,False,EXPOSED_HISTORY
SPY,1996-04,1,1,t,True,1,800,-722.4305299856532,4,1471.599506881978,1452.8610599713063,0.9725236050877946,True,EXPOSED_HISTORY
SPY,1996-04,1,2,normal,True,2,800,-750.2453653201069,4,1527.2291775508854,1508.4907306402138,0.9763332743237026,False,EXPOSED_HISTORY
SPY,1996-04,1,2,t,True,3,800,-722.4305299845312,5,1478.284118607402,1454.8610599690624,0.9725218748793014,False,EXPOSED_HISTORY
SPY,1996-04,2,1,normal,True,4,800,-750.1248440677069,4,1526.9881350460855,1508.2496881354139,0.9754776269401539,False,EXPOSED_HISTORY
SPY,1996-04,2,1,t,True,5,800,-722.392904846442,5,1478.2088683312236,1454.785809692884,0.971913409137514,False,EXPOSED_HISTORY
SPY,1996-05,1,1,normal,True,0,821,-773.4944114619927,3,1567.1203922523428,1552.9888229239855,0.9747078052881428,False,EXPOSED_HISTORY
SPY,1996-05,1,1,t,True,1,821,-744.646681855772,4,1516.1354561493538,1497.293363711544,0.96984409909133,True,EXPOSED_HISTORY
SPY,1996-05,1,2,normal,True,2,821,-773.4944114657634,4,1573.8309153693365,1554.9888229315268,0.9747079378084309,False,EXPOSED_HISTORY
SPY,1996-05,1,2,t,True,3,821,-744.6466818560245,5,1522.8459792593112,1499.293363712049,0.9698440131775388,False,EXPOSED_HISTORY
SPY,1996-05,2,1,normal,True,4,821,-773.2982876967271,4,1573.438667831264,1554.5965753934543,0.9731848335395632,False,EXPOSED_HISTORY
SPY,1996-05,2,1,t,True,5,821,-744.5612918263529,5,1522.675199199968,1499.1225836527058,0.9685074270187123,False,EXPOSED_HISTORY
SPY,1996-06,1,1,normal,True,0,843,-799.1267681382453,3,1618.4644371504962,1604.2535362764906,0.9778292574731321,False,EXPOSED_HISTORY
SPY,1996-06,1,1,t,True,1,843,-771.1990133260338,4,1569.345894484075,1550.3980266520675,0.9761137400887285,True,EXPOSED_HISTORY
SPY,1996-06,1,2,normal,True,2,843,-799.1267681385317,4,1625.2014041090708,1606.2535362770634,0.9778294836045889,False,EXPOSED_HISTORY
SPY,1996-06,1,2,t,True,3,843,-771.199013324765,5,1576.0828614395393,1552.39802664953,0.9761134213588585,False,EXPOSED_HISTORY
