cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,2,0,2022,CORE_VOL,0.7795740082729026,6.171729793891245e-12,0.7791229651209726,0.7791229651148008
PROXY,2,0,2023_PLUS,CORE_VOL,0.9162603766817483,4.208411397144118e-12,0.9163465455494094,0.916346545545201
PROXY,2,0,2024_PLUS,CORE_VOL,0.913715732669516,7.184697281559238e-12,0.9137627991257439,0.9137627991329286
PROXY,2,0,EX_MAJOR_SHOCKS,CORE_VOL,0.9390959282391123,4.1744385725905886e-13,0.9391780030979687,0.9391780030983862
PROXY,2,1,ALL,VOL,0.8303944704894093,6.581624134582853e-12,0.8305784245177552,0.8305784245243368
PROXY,2,1,GFC,VOL,0.7084895302468794,6.736278201913137e-12,0.7087982018128336,0.7087982018195699
PROXY,2,1,2011,VOL,0.7945572389071458,6.3788974102862994e-12,0.7950394632932227,0.7950394632868438
PROXY,2,1,2015_2016,VOL,0.8994972463333397,1.004196725773454e-12,0.8996360108145655,0.8996360108135613
PROXY,2,1,2018Q4,VOL,0.6005400811482104,4.388378549435856e-12,0.5977008103254727,0.5977008103298611
PROXY,2,1,COVID,VOL,0.5026616478498909,3.034905660115328e-12,0.5038915276215049,0.5038915276245398
PROXY,2,1,2022,VOL,0.5589350740701775,2.283728761653947e-13,0.558335257216708,0.5583352572169363
PROXY,2,1,2023_PLUS,VOL,0.8324813225117396,1.0588196985850118e-12,0.8326415754133469,0.8326415754144058
PROXY,2,1,2024_PLUS,VOL,0.827412841921614,2.0523582833220644e-12,0.8275020995622747,0.8275020995602224
PROXY,2,1,EX_MAJOR_SHOCKS,VOL,0.8781294609289034,7.548406344426439e-13,0.8782847821984802,0.878284782199235
PROXY,2,1,ALL,CORE_VOL,0.9152398378428188,6.106226635438361e-15,0.9153387905884012,0.9153387905884073
PROXY,2,1,GFC,CORE_VOL,0.8542607294439222,4.245825913073986e-12,0.8544356016019129,0.8544356015976671
PROXY,2,1,2011,CORE_VOL,0.8974037141379085,7.132627821704318e-12,0.8976718945276353,0.8976718945347679
PROXY,2,1,2015_2016,CORE_VOL,0.9498080231351196,6.48925357893404e-12,0.9498805381437538,0.9498805381372646
PROXY,2,1,2018Q4,CORE_VOL,0.8003329682032927,6.179168288156234e-12,0.7984117668429912,0.798411766836812
PROXY,2,1,COVID,CORE_VOL,0.7520935106222169,1.1446399383885364e-12,0.7529699787771379,0.7529699787782825
PROXY,2,1,2022,CORE_VOL,0.7795740082729026,6.171729793891245e-12,0.7791229651209726,0.7791229651148008
PROXY,2,1,2023_PLUS,CORE_VOL,0.9162603766817483,4.208411397144118e-12,0.9163465455494094,0.916346545545201
PROXY,2,1,2024_PLUS,CORE_VOL,0.913715732669516,7.1848083038617006e-12,0.9137627991257438,0.9137627991329286
PROXY,2,1,EX_MAJOR_SHOCKS,CORE_VOL,0.9390959282391123,4.1744385725905886e-13,0.9391780030979687,0.9391780030983862
PROXY,2,3,ALL,VOL,0.8303944704894093,6.581624134582853e-12,0.8305784245177552,0.8305784245243368
PROXY,2,3,GFC,VOL,0.7084895302468794,6.736278201913137e-12,0.7087982018128336,0.7087982018195699
PROXY,2,3,2011,VOL,0.7945572389071458,6.3788974102862994e-12,0.7950394632932227,0.7950394632868438
PROXY,2,3,2015_2016,VOL,0.8994972463333397,1.004196725773454e-12,0.8996360108145655,0.8996360108135613
PROXY,2,3,2018Q4,VOL,0.6005400811482104,4.388378549435856e-12,0.5977008103254727,0.5977008103298611
PROXY,2,3,COVID,VOL,0.5026616478498909,3.034683615510403e-12,0.5038915276215051,0.5038915276245398
PROXY,2,3,2022,VOL,0.5589350740701775,2.284838984678572e-13,0.558335257216708,0.5583352572169364
PROXY,2,3,2023_PLUS,VOL,0.8324813225117396,1.0588196985850118e-12,0.8326415754133469,0.8326415754144058
