cash_mode,offset,cost_bps,rule,period,Return_Retention,n,cycles,years,CAGR,annual_return,annual_vol,downside_deviation,Sharpe,Sortino,Calmar,MaxDD,recovery_sessions,recovery_censored,longest_completed_recovery,average_exposure,cash_share,beta,annual_turnover,annual_fee_drag,VaR95_5D,ES95_5D,loss2_frequency,loss5_frequency,mean_path_D,actual_5D_proxy_ann,vol_proxy_overshoot,vol_prediction_rmse,ES_budget_predicted_gross_breach,ES_budget_predicted_net_breach,probability_budget_predicted_gross_breach,probability_budget_predicted_net_breach,loss_budget_realized_frequency,VaR_hit,ES_identification,expected_loss2,expected_loss5,path_projection_approx,CAGR_cost_drag
PROXY,2,0,BUYHOLD,GFC,1.0,755,150,2.9924709103353866,0.025218340736437757,0.06774886567588925,0.2925071856818413,0.2104392152153282,0.16203560161027375,0.22473005317168435,0.048236934255648754,0.522801482423908,545,True,46,1.0,0.0,1.0,0.0,0.0,0.059115778573202715,0.10014778055536615,0.24666666666666667,0.06666666666666667,0.027330196007537638,0.2918710462768896,0.7133333333333334,0.012347339726251244,0.84,0.84,0.8666666666666667,0.8666666666666667,0.12666666666666668,0.05333333333333334,-0.105250647799569,0.21470901503386874,0.06335484058523953,0.025286748797256797,0.0
PROXY,2,0,BUYHOLD,2011,1.0,251,49,0.9883641341546886,0.026200899415776715,0.049478037570438546,0.21827885348449524,0.16021662664652125,0.22417623299427847,0.3053884804185417,0.1726588430260217,0.1517495365808048,110,True,55,1.0,0.0,0.9999999999999999,0.0,0.0,0.05197518304431992,0.05404868071514617,0.22448979591836735,0.061224489795918366,0.022898978412691024,0.22771534475468577,0.5714285714285714,0.010450002288977758,0.8163265306122449,0.8163265306122449,0.8367346938775511,0.8367346938775511,0.12244897959183673,0.04081632653061224,0.10347902308432348,0.18912171120053511,0.04290313879531104,0.02089576261053071,0.0
PROXY,2,0,BUYHOLD,2015_2016,1.0,503,100,1.9931553730321698,0.08688541389129263,0.10159890232515283,0.19107510807991773,0.14103405886072143,0.5223200976284171,0.7074178493787134,0.5005900764226782,0.1735659933816388,72,False,182,1.0,0.0,0.9999999999999998,0.0,0.0,0.03833684509840063,0.05515760767532592,0.15,0.03,0.016424315172719858,0.19986882387989005,0.28,0.018187735924045427,0.51,0.51,0.53,0.53,0.07,0.07,-0.1915224373581536,0.14080401549120608,0.024967887053500937,0.01690410283171744,0.0
PROXY,2,0,BUYHOLD,2018Q4,1.0,62,12,0.24914442162902123,-0.5289552733768632,-0.7093384933401214,0.3234242070099195,0.2593995857842619,-2.2658174491563323,-2.8157128388461343,-2.389026817307685,0.22141035401727704,62,True,0,1.0,0.0,0.9999999999999987,0.0,0.0,0.04710852074981298,0.04710852074981298,0.6666666666666666,0.0,0.04197157416825532,0.30316267881009623,1.0,0.014143163523682542,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.4166666666666667,0.08333333333333333,-0.23450234000806458,0.231178316946832,0.07847823379612098,0.02681751956247905,0.0
PROXY,2,0,BUYHOLD,COVID,1.0,92,17,0.3613963039014374,0.091370089390437,0.17534673481457277,0.421459891305733,0.312258642805467,0.40720178072122837,0.5492818162876275,0.3314938400367201,0.2756313341458043,72,False,72,1.0,0.0,0.9999999999999999,0.0,0.0,0.09990714515177945,0.09990714515177945,0.17647058823529413,0.17647058823529413,0.04031444375716098,0.516777886314154,0.9411764705882353,0.03436356214971959,1.0,1.0,1.0,1.0,0.17647058823529413,0.058823529411764705,-0.08988924566902042,0.2690595422360169,0.1315328748935911,0.03962841345884243,0.0
PROXY,2,0,BUYHOLD,2022,1.0,250,50,0.9883641341546886,-0.337695483730845,-0.3583998756999967,0.32226453266429694,0.23937477070898194,-1.1738593351549689,-1.5758387877152424,-0.9315640449314507,0.36250377584688165,249,True,0,1.0,0.0,0.9999999999999996,0.0,0.0,0.07311428921612784,0.09029284215024558,0.42,0.18,0.038454065353929465,0.2988113304918428,1.0,0.010897375741798034,1.0,1.0,1.0,1.0,0.34,0.12,-0.41324214172720675,0.24549340957610555,0.08814750822574657,0.028986342466916608,0.0
PROXY,2,0,BUYHOLD,2023_PLUS,1.0,914,182,3.6440793976728267,0.31210148232812784,0.293688394977127,0.20333734301329395,0.13757504899913214,1.2125654174070197,1.7739590568964008,1.2911994335381591,0.2417143891342206,88,False,88,1.0,0.0,1.0000000000000002,0.0,0.0,0.032313752713521326,0.04242368437165074,0.14835164835164835,0.01098901098901099,0.017429276532841532,0.20046904777676422,0.5384615384615384,0.010355440709553273,0.8846153846153846,0.8846153846153846,0.8681318681318682,0.8681318681318682,0.07142857142857142,0.03296703296703297,0.198135832624874,0.17298486633316632,0.034812256567688424,0.01943294080798603,0.0
PROXY,2,0,BUYHOLD,2024_PLUS,1.0,664,132,2.647501711156742,0.24042094031904618,0.2388015283599164,0.21105986652058026,0.14654533927785865,0.918397024621572,1.310807523340458,0.9946488547090335,0.2417143891342206,88,False,88,1.0,0.0,1.0000000000000004,0.0,0.0,0.032575047323825435,0.044772567572441344,0.1590909090909091,0.015151515151515152,0.01803385078878919,0.2088990736935231,0.5378787878787878,0.011498873965450468,0.8636363636363636,0.8636363636363636,0.8484848484848485,0.8484848484848485,0.08333333333333333,0.030303030303030304,0.21969350433609716,0.17378525659630387,0.0363223099267751,0.019678734535195936,0.0
PROXY,2,0,BUYHOLD,EX_MAJOR_SHOCKS,1.0,3982,794,15.824777549623546,0.23347114887945683,0.22732044473833624,0.1846678376630038,0.12981664298028506,1.1419985599883153,1.6181846170023975,0.9658967747667416,0.2417143891342206,88,False,182,1.0,0.0,0.9999999999999998,0.06328478151682572,0.0,0.03508812525642391,0.049165182686116554,0.14105793450881612,0.0163727959697733,0.016222331206569914,0.18570093132026308,0.3979848866498741,0.01060962371445664,0.6410579345088161,0.6410579345088161,0.6612090680100756,0.6612090680100756,0.07178841309823678,0.04534005037783375,0.034124488878957304,0.15097813151705924,0.026582345972773747,0.017409781380880805,0.0
PROXY,2,0,VOL,ALL,0.8646949458307618,5085,1017,20.216290212183434,0.14208519213807316,0.1448526707617817,0.15282400045757713,0.10975033737956857,0.8366090226444074,1.1593690304016275,0.48343466852477646,0.29390774263594455,542,False,542,0.8305784245177552,0.1694215754822448,0.6522914580187436,3.1785845338887744,0.0,0.032313752713521326,0.04338019636115896,0.12291052114060963,0.010816125860373648,0.01444117661604652,0.15381787478058936,0.23008849557522124,0.008411284054018022,0.688298918387414,0.688298918387414,0.7138643067846607,0.7138643067846607,0.05604719764011799,0.051130776794493606,-0.01662979617988201,0.12520502789222127,0.010082547923348664,0.014475397395847151,0.0
PROXY,2,0,MATCH_VOL,ALL,0.8595426980867481,5085,1017,20.216290212183434,0.14123858361540184,0.14887817182663052,0.18132732099016372,0.1294627721396739,0.7273194172548517,1.014911303272628,0.313013666560832,0.45122177944250597,753,False,753,0.8305784245243371,0.16942157547566294,0.8295948071147763,0.19077128129395335,0.0,0.03646602638720886,0.053827982185795493,0.14355948869223206,0.01966568338249754,0.016110894973417448,0.18280667666007683,0.33136676499508355,0.009627026259985887,0.4916420845624385,0.4916420845624385,0.5024582104228122,0.5024582104228122,0.06784660766961652,0.051130776794493606,-0.016726981965884312,0.13399276907473784,0.023459698831240983,0.016207837769465747,0.0
PROXY,2,0,VOL,GFC,2.91052957418128,755,150,2.9924709103353866,0.07339872652518262,0.08307036736002792,0.15690665709755394,0.1123419239489847,0.3995831372912108,0.5549394907203996,0.24973389903544957,0.29390774263594754,542,False,542,0.7087982018128336,0.2912017981871664,0.4846274171591243,3.188703946380397,0.0,0.030379078696219253,0.04837102958650612,0.14666666666666667,0.02,0.016124215290131402,0.15947872238246508,0.32,0.00658566545752744,0.8266666666666667,0.8266666666666667,0.8666666666666667,0.8666666666666667,0.04666666666666667,0.05333333333333334,-0.10557657482731624,0.136164475481538,0.01058949862937035,0.015247350216270921,0.0
PROXY,2,0,MATCH_VOL,GFC,1.2821666509675356,755,150,2.9924709103353866,0.032334115484996574,0.05328645480991686,0.20728029179635626,0.14898976437073336,0.15888929254798934,0.22036532142696585,0.08186715661911786,0.394958330303679,545,True,43,0.7087982018195699,0.2912017981804301,0.7085588712266228,0.29174902140533254,0.0,0.04170512873789867,0.0708738307139519,0.14666666666666667,0.04666666666666667,0.019413862766807302,0.2063737571956239,0.4266666666666667,0.00865444866674236,0.5733333333333334,0.5733333333333334,0.5933333333333334,0.5933333333333334,0.09333333333333334,0.05333333333333334,-0.10605780292577781,0.15020370567422367,0.030425184667755213,0.017915396776839315,0.0
PROXY,2,0,VOL,2011,-0.14255520879041358,251,49,0.9883641341546886,-0.0037350746867126747,0.00789633109371523,0.1524489749288508,0.11440147020870572,0.048223308711277696,0.06425090092230674,-0.03385072864406409,0.11033956538975831,218,True,13,0.7950394632932227,0.20496053670677727,0.6681940284260334,3.424993612072698,0.0,0.03275620220808151,0.040848259062510515,0.14285714285714285,0.0,0.01698750140294072,0.16092559479908805,0.24489795918367346,0.006915223340536249,0.8163265306122449,0.8163265306122449,0.8367346938775511,0.8367346938775511,0.08163265306122448,0.04081632653061224,0.10347940072825383,0.13453648714539182,0.010382357364287829,0.015047000511670296,0.0
PROXY,2,0,MATCH_VOL,2011,0.9327172911173137,251,49,0.9883641341546886,0.024438031927920465,0.03898246187398277,0.1734396259023197,0.12738872688301642,0.2216181002274414,0.3016970111748803,0.20022366617669407,0.12205366325853961,110,True,55,0.7950394632868438,0.20496053671315617,0.7945699072441007,0.1922320052364974,0.0,0.041294499932677864,0.0429436206794033,0.16326530612244897,0.0,0.01823621579733973,0.18079420416167133,0.3877551020408163,0.008232222403407333,0.4897959183673469,0.4897959183673469,0.5306122448979592,0.5306122448979592,0.10204081632653061,0.04081632653061224,0.10348244424678371,0.14610809501652866,0.02403161730667621,0.01660287944468246,0.0
PROXY,2,0,VOL,2015_2016,0.5369929325410275,503,100,1.9931553730321698,0.04665685320052616,0.05954444630051505,0.16660191979968544,0.12476670452983123,0.34662376021534363,0.4626821351219547,0.26759541546785487,0.17435595119951097,298,False,298,0.8996360108145655,0.10036398918543454,0.8391770510049142,3.215376311441389,0.0,0.030903887026220267,0.04457021266091861,0.14,0.01,0.01425950745892088,0.17642912842688493,0.15,0.016074311214117492,0.51,0.51,0.53,0.53,0.04,0.07,-0.19150453461996417,0.11588328763577456,0.007869475707422151,0.013730688757329954,0.0
PROXY,2,0,MATCH_VOL,2015_2016,0.9131246831554497,503,100,1.9931553730321698,0.0793372160303167,0.09104061448229507,0.17145374932460683,0.12668806084959738,0.5205140963849296,0.7041851269490456,0.506740255520952,0.1565638710679388,72,False,182,0.8996360108135613,0.10036398918643874,0.8972983809464774,0.07958464312503845,0.0,0.034478875228936334,0.049609804237133084,0.11,0.02,0.014783290479381228,0.1789338981029974,0.23,0.01619443147061971,0.34,0.34,0.35,0.35,0.05,0.07,-0.19152243951054998,0.12252336279901713,0.019165428041067956,0.01520519394886545,0.0
PROXY,2,0,VOL,2018Q4,,62,12,0.24914442162902123,-0.4237845464046829,-0.5400648669705538,0.18836664693238395,0.15870710821652906,-2.9918318620784916,-3.5320646795211976,-2.735398251891219,0.154926086580513,62,True,0,0.5977008103254727,0.40229918967452727,0.5678960378107858,5.4945661219803235,0.0,0.039332125873710044,0.039332125873710044,0.3333333333333333,0.0,0.02573795368744917,0.18491443274148606,0.5,0.008968172424550672,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,-0.2334288286893057,0.1361739988635122,0.01266841759213447,0.015248575658680317,0.0
