period,model,n,first,last,PINBALL,FZ0,BRIER2,BRIER5,DD_MSE,DD_MAE,var_hit_rate,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,auc2,auc5,actual_D,pred_D,fallback_fraction,max_impossible_mass,q_below_minus1,e_below_minus1
2018Q4,HS,63,2018-10-01,2018-12-31,0.004253442743522198,-2.1977873290483965,0.3602109513567112,0.06106498326070152,0.0005555888359109265,0.018706502449926308,0.2698412698412698,-0.6632861402251671,0.47619047619047616,0.14343708975056582,0.06349206349206349,0.023592048338754352,0.47575757575757577,0.1271186440677966,0.030971872225597767,0.01689255711807031,0.0,0.0,0,0
2018Q4,FHS,63,2018-10-01,2018-12-31,0.004399016643559563,-1.8247112002977661,0.35828307730709685,0.059078553450221234,0.0005401170996682775,0.019832171973397796,0.20634920634920634,-0.9833701896929343,0.47619047619047616,0.18249295637067287,0.06349206349206349,0.04020027728694212,0.26717171717171717,0.7076271186440678,0.030971872225597767,0.020492353016218972,0.0,0.0,0,0
COVID,HS,93,2020-02-19,2020-06-30,0.011991180096416245,0.323152200156232,0.21230560856983016,0.1440117816597734,0.0023290009872739535,0.032935936470243524,0.1827956989247312,-3.1541879283052454,0.26881720430107525,0.144737124902662,0.15053763440860216,0.02473117337420473,0.17088235294117646,0.11754068716094032,0.04252734972288237,0.016928493327843786,0.0,0.0,0,0
COVID,FHS,93,2020-02-19,2020-06-30,0.009020683758155817,-0.8794654023336765,0.2067441174068196,0.13402140844568125,0.0018501167681562079,0.032218565321397774,0.11827956989247312,-1.3103301129216054,0.26881720430107525,0.26329487418893827,0.15053763440860216,0.12671144856563094,0.4582352941176471,0.5207956600361664,0.04252734972288237,0.03855698767766871,0.0,0.0,0,0
2022,HS,251,2022-01-03,2022-12-30,0.004101747263601976,-2.3842667066217627,0.23900488785220708,0.06499608935292209,0.0004992781656351033,0.016539655720556865,0.12749003984063745,-0.4447425060528908,0.30677290836653387,0.14505869076320332,0.06772908366533864,0.025028464161525054,0.4384609643230333,0.38298139768728007,0.027436971893821663,0.017013178004433565,0.0,0.0,0,0
2022,FHS,251,2022-01-03,2022-12-30,0.004122591005467275,-2.364018340534193,0.2327487125989555,0.06562008689944045,0.0004594535993300817,0.016659229774974794,0.09561752988047809,-0.3051745649596031,0.30677290836653387,0.2007685921500228,0.06772908366533864,0.04980665266134861,0.3383340797133901,0.3560834590246355,0.027436971893821663,0.022389357839577812,0.0,0.0,0,0
2023_PLUS,HS,911,2023-01-03,2026-08-20,0.0024140423137336336,-3.084957355407346,0.08416093471081067,0.00791390678892821,0.00019019222992625195,0.01048293721363644,0.015367727771679473,0.2466568558922079,0.0889132821075741,0.14472482930214187,0.007683863885839737,0.024612687301183562,0.45533244087460956,0.4088179519595449,0.012554532136261235,0.01693533202457643,0.0,0.0,0,0
2023_PLUS,FHS,911,2023-01-03,2026-08-20,0.0022562677557304974,-3.2339769409991788,0.08200706376721259,0.008014506703451958,0.00017161310420453032,0.009355122463907472,0.03951701427003293,0.09464498473100878,0.0889132821075741,0.11946296758312719,0.007683863885839737,0.015759273810952885,0.6084560464078537,0.8234829329962073,0.012554532136261235,0.014465098089184395,0.0,0.0,0,0
2024_PLUS,HS,661,2024-01-02,2026-08-20,0.002499804299057908,-3.0554518295291615,0.08108720295620299,0.009227741583763428,0.0002170893336297545,0.010958051178028493,0.018154311649016642,0.21287611609448623,0.08472012102874432,0.14376722325317773,0.009077155824508321,0.024319533811526472,0.40138724911452184,0.44580152671755724,0.012596956066575217,0.016850702326972593,0.0,0.0,0,0
2024_PLUS,FHS,661,2024-01-02,2026-08-20,0.0023448554915355777,-3.2031432410508174,0.07852006631973966,0.00947163836669877,0.00019899383737225916,0.009900595600909098,0.039334341906202726,0.06514983106357146,0.08472012102874432,0.11957203627645353,0.009077155824508321,0.016718860800474723,0.6284533648170012,0.8297709923664122,0.012596956066575217,0.01458237932184101,0.0,0.0,0,0
