period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
NONOVERLAP5_2,21,FHS|HS|DD_MSE,FHS_VALUE,7.864908636878277e-05,1.0,4.667712116102328e-05,0.00011753861445060327,3.5043459621702836e-05,0.00012225471311586272,FHS,HS,DD_MSE,1323,0.24771924779263294
NONOVERLAP5_3,21,FHS|HS|PINBALL,FHS_VALUE,0.0003949938510125449,1.0,0.00018753205486145204,0.0006260602274429406,0.0001337075197888445,0.0006562801822362453,FHS,HS,PINBALL,1323,0.12549242440693992
NONOVERLAP5_3,21,FHS|HS|FZ0,FHS_VALUE,0.22872726690747114,1.0,0.1212273766830642,0.34143401786521765,0.09383149729855544,0.36362303651638683,FHS,HS,FZ0,1323,
NONOVERLAP5_3,21,FHS|HS|BRIER2,FHS_VALUE,0.004961917130737919,1.0,0.0024266174803934146,0.007617551902484246,0.001780593649435426,0.008143240612040413,FHS,HS,BRIER2,1323,0.04268812789457438
NONOVERLAP5_3,21,FHS|HS|BRIER5,FHS_VALUE,0.0016605729453087225,1.0,0.00024096026164332164,0.0033567086255297746,-0.0002554669281356263,0.0035766128187530713,FHS,HS,BRIER5,1323,0.06619389957264181
NONOVERLAP5_3,21,FHS|HS|DD_MSE,FHS_VALUE,7.330915468079118e-05,1.0,4.073336683936805e-05,0.00011194191880931886,3.034818567487561e-05,0.00011627012368670675,FHS,HS,DD_MSE,1323,0.22565847319474283
NONOVERLAP5_4,21,FHS|HS|PINBALL,FHS_VALUE,0.0003593220132582208,1.0,0.00012848613502171538,0.0006084742980063908,6.303041407271497e-05,0.0006556136124437266,FHS,HS,PINBALL,1323,0.11882003404940424
NONOVERLAP5_4,21,FHS|HS|FZ0,FHS_VALUE,0.21888870608100167,1.0,0.08751657187249809,0.3598960443070525,0.052617757260203624,0.3851596549017997,FHS,HS,FZ0,1323,
NONOVERLAP5_4,21,FHS|HS|BRIER2,FHS_VALUE,0.005604797765219244,1.0,0.0026176021515689307,0.008518470583773115,0.002005717844782892,0.009203877685655596,FHS,HS,BRIER2,1323,0.045935204769564766
NONOVERLAP5_4,21,FHS|HS|BRIER5,FHS_VALUE,0.0011736480682773757,1.0,-0.00033994418722732843,0.0030580533697032353,-0.0008668355359088557,0.003214131672463607,FHS,HS,BRIER5,1323,0.05279109266538212
NONOVERLAP5_4,21,FHS|HS|DD_MSE,FHS_VALUE,7.755332731892439e-05,1.0,3.714052027545988e-05,0.00012856987615962796,2.1594693045341612e-05,0.00013351196159250718,FHS,HS,DD_MSE,1323,0.2214502313074838
ALL,42,FHS|HS|PINBALL,FHS_VALUE,0.00038915422949257285,1.0,0.00018311867945833196,0.0006414282850214182,0.00011765867703973458,0.0006606497819454111,FHS,HS,PINBALL,6616,0.12877030699356734
ALL,42,FHS|HS|FZ0,FHS_VALUE,0.22417647589140885,1.0,0.11775973804456377,0.3461123586370502,0.0904397549106398,0.35791319687217793,FHS,HS,FZ0,6616,
ALL,42,FHS|HS|BRIER2,FHS_VALUE,0.005306496454549714,1.0,0.002831663605978114,0.007978411617975528,0.0022781010602165386,0.008334891848882888,FHS,HS,BRIER2,6616,0.044431090856920444
ALL,42,FHS|HS|BRIER5,FHS_VALUE,0.001404011439802929,1.0,7.931675404646649e-05,0.0031131841908376453,-0.000428786718537354,0.0032368095981432123,FHS,HS,BRIER5,6616,0.059377184502875296
