period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
2011,HS,p2,0.1_0.2,252,,,,,,,,,0.19444444444444445,0.16741467033705865
2011,HS,p2,0.2_1.000001,0,,,,,,,,,,
2011,HS,p5,0_0.01,0,,,,,,,,,,
2011,HS,p5,0.01_0.05,252,,,,,,,,,0.047619047619047616,0.03062004955050677
2011,HS,p5,0.05_0.1,0,,,,,,,,,,
2011,HS,p5,0.1_0.2,0,,,,,,,,,,
2011,HS,p5,0.2_1.000001,0,,,,,,,,,,
2011,FHS,RISK,LOW,83,0.03614457831325301,0.017429804364590133,0.13253012048192772,0.10362868203676934,0.012048192771084338,0.0058436120625333515,0.015256625739448672,0.01289809762560219,,
2011,FHS,RISK,MID,72,0.125,-1.0992648015368194,0.16666666666666666,0.16714072752331693,0.06944444444444445,0.019161218931708565,0.019715135593564685,0.017575618086751534,,
2011,FHS,RISK,HIGH,97,0.030927835051546393,0.22085716424079088,0.26804123711340205,0.2627065191217847,0.061855670103092786,0.09684914228267968,0.029618498037982745,0.030915869440605145,,
2011,FHS,p2,0_0.01,0,,,,,,,,,,
2011,FHS,p2,0.01_0.05,1,,,,,,,,,0.0,0.046380697050938335
2011,FHS,p2,0.05_0.1,36,,,,,,,,,0.027777777777777776,0.07687278746810625
2011,FHS,p2,0.1_0.2,106,,,,,,,,,0.1792452830188679,0.14396298042998057
2011,FHS,p2,0.2_1.000001,109,,,,,,,,,0.26605504587155965,0.25728411352351455
2011,FHS,p5,0_0.01,81,,,,,,,,,0.012345679012345678,0.005733750543777368
2011,FHS,p5,0.01_0.05,80,,,,,,,,,0.0625,0.02109636422302476
2011,FHS,p5,0.05_0.1,48,,,,,,,,,0.041666666666666664,0.07288023442635595
2011,FHS,p5,0.1_0.2,43,,,,,,,,,0.09302325581395349,0.13043256235674838
2011,FHS,p5,0.2_1.000001,0,,,,,,,,,,
2015_2016,HS,RISK,LOW,326,0.015337423312883436,0.1912088028064544,0.07668711656441718,0.15375239656119266,0.009202453987730062,0.02601115098042945,0.011314789202076342,0.017896811952948614,,
2015_2016,HS,RISK,MID,120,0.016666666666666666,0.29916377728289933,0.08333333333333333,0.15472255574404253,0.008333333333333333,0.026364622657537765,0.011575801814427192,0.01798902555332099,,
2015_2016,HS,RISK,HIGH,58,0.08620689655172414,0.19115391856934033,0.20689655172413793,0.15424152120448364,0.0,0.02630195108239389,0.02173920123464549,0.01795302631518519,,
2015_2016,HS,p2,0_0.01,0,,,,,,,,,,
2015_2016,HS,p2,0.01_0.05,0,,,,,,,,,,
2015_2016,HS,p2,0.05_0.1,0,,,,,,,,,,
2015_2016,HS,p2,0.1_0.2,504,,,,,,,,,0.09325396825396826,0.1540396749962182
2015_2016,HS,p2,0.2_1.000001,0,,,,,,,,,,
2015_2016,HS,p5,0_0.01,0,,,,,,,,,,
2015_2016,HS,p5,0.01_0.05,504,,,,,,,,,0.007936507936507936,0.02612877599464956
2015_2016,HS,p5,0.05_0.1,0,,,,,,,,,,
2015_2016,HS,p5,0.1_0.2,0,,,,,,,,,,
2015_2016,HS,p5,0.2_1.000001,0,,,,,,,,,,
2015_2016,FHS,RISK,LOW,326,0.05828220858895705,-0.25947136475974625,0.07668711656441718,0.07374085989446122,0.009202453987730062,0.0031976224928187756,0.011314789202076342,0.010929534629654436,,
2015_2016,FHS,RISK,MID,120,0.025,0.1274814459918597,0.08333333333333333,0.15642843073668683,0.008333333333333333,0.017684635014094903,0.011575801814427192,0.01673269514143153,,
2015_2016,FHS,RISK,HIGH,58,0.0,0.2912525678993734,0.20689655172413793,0.23847862901675654,0.0,0.07500784892643787,0.02173920123464549,0.027389298838004207,,
2015_2016,FHS,p2,0_0.01,0,,,,,,,,,,
2015_2016,FHS,p2,0.01_0.05,65,,,,,,,,,0.06153846153846154,0.03702498583930129
2015_2016,FHS,p2,0.05_0.1,219,,,,,,,,,0.0730593607305936,0.07818967554755474
2015_2016,FHS,p2,0.1_0.2,161,,,,,,,,,0.09316770186335403,0.14334304078907784
2015_2016,FHS,p2,0.2_1.000001,59,,,,,,,,,0.2033898305084746,0.23786948992301787
2015_2016,FHS,p5,0_0.01,343,,,,,,,,,0.011661807580174927,0.0035061525633076863
2015_2016,FHS,p5,0.01_0.05,115,,,,,,,,,0.0,0.022019322276294575
2015_2016,FHS,p5,0.05_0.1,37,,,,,,,,,0.0,0.06848776566716545
2015_2016,FHS,p5,0.1_0.2,9,,,,,,,,,0.0,0.13846185015668577
2015_2016,FHS,p5,0.2_1.000001,0,,,,,,,,,,
2018Q4,HS,RISK,LOW,7,0.5714285714285714,-0.7815915139798527,0.8571428571428571,0.14225128114507865,0.0,0.023679095246509987,0.036338778196795096,0.016863792327520045,,
2018Q4,HS,RISK,MID,29,0.20689655172413793,0.07242879392463569,0.5172413793103449,0.14325286864186484,0.0,0.023613613237632076,0.03141657011756438,0.01688883459315808,,
2018Q4,HS,RISK,HIGH,27,0.25925925925925924,-1.4228267133385553,0.3333333333333333,0.14394238872800058,0.14814814814814814,0.023546318323134207,0.029102813682434305,0.016904012923859436,,
2018Q4,HS,p2,0_0.01,0,,,,,,,,,,
2018Q4,HS,p2,0.01_0.05,0,,,,,,,,,,
2018Q4,HS,p2,0.05_0.1,0,,,,,,,,,,
2018Q4,HS,p2,0.1_0.2,63,,,,,,,,,0.47619047619047616,0.14343708975056582
2018Q4,HS,p2,0.2_1.000001,0,,,,,,,,,,
2018Q4,HS,p5,0_0.01,0,,,,,,,,,,
2018Q4,HS,p5,0.01_0.05,63,,,,,,,,,0.06349206349206349,0.023592048338754352
2018Q4,HS,p5,0.05_0.1,0,,,,,,,,,,
2018Q4,HS,p5,0.1_0.2,0,,,,,,,,,,
2018Q4,HS,p5,0.2_1.000001,0,,,,,,,,,,
2018Q4,FHS,RISK,LOW,7,0.7142857142857143,-7.506740418729403,0.8571428571428571,0.061419231060510435,0.0,0.00270113346628632,0.036338778196795096,0.01010381634181895,,
2018Q4,FHS,RISK,MID,29,0.13793103448275862,0.03365660688704617,0.5172413793103449,0.17232778507254037,0.0,0.026092670551521084,0.03141657011756438,0.018389416708484596,,
2018Q4,FHS,RISK,HIGH,27,0.14814814814814814,-0.3844881710842,0.3333333333333333,0.22480058766019065,0.14814814814814814,0.06507489217849026,0.029102813682434305,0.025444386706778118,,
2018Q4,FHS,p2,0_0.01,0,,,,,,,,,,
2018Q4,FHS,p2,0.01_0.05,2,,,,,,,,,1.0,0.04285209400954232
2018Q4,FHS,p2,0.05_0.1,5,,,,,,,,,0.8,0.06884608588089768
2018Q4,FHS,p2,0.1_0.2,31,,,,,,,,,0.4838709677419355,0.17387877634945548
2018Q4,FHS,p2,0.2_1.000001,25,,,,,,,,,0.36,0.22707518268382793
2018Q4,FHS,p5,0_0.01,8,,,,,,,,,0.0,0.0034900159038699415
2018Q4,FHS,p5,0.01_0.05,34,,,,,,,,,0.058823529411764705,0.029811693026899018
2018Q4,FHS,p5,0.05_0.1,19,,,,,,,,,0.10526315789473684,0.06745057577496798
2018Q4,FHS,p5,0.1_0.2,2,,,,,,,,,0.0,0.10476941960371734
2018Q4,FHS,p5,0.2_1.000001,0,,,,,,,,,,
COVID,HS,RISK,LOW,1,1.0,-20.180949431335698,1.0,0.1432860717264387,1.0,0.023185988323603003,0.09557663595927846,0.016690261311982948,,
COVID,HS,RISK,MID,7,0.2857142857142857,-6.780980079772582,0.42857142857142855,0.14449091223966562,0.2857142857142857,0.024608065588873056,0.062306941130953045,0.016946933030187083,,
COVID,HS,RISK,HIGH,85,0.16470588235294117,-2.6551960863840494,0.24705882352941178,0.1447744724534526,0.12941176470588237,0.024759490310062655,0.040274332945318944,0.016929777493719763,,
COVID,HS,p2,0_0.01,0,,,,,,,,,,
COVID,HS,p2,0.01_0.05,0,,,,,,,,,,
COVID,HS,p2,0.05_0.1,0,,,,,,,,,,
COVID,HS,p2,0.1_0.2,93,,,,,,,,,0.26881720430107525,0.144737124902662
COVID,HS,p2,0.2_1.000001,0,,,,,,,,,,
COVID,HS,p5,0_0.01,0,,,,,,,,,,
COVID,HS,p5,0.01_0.05,93,,,,,,,,,0.15053763440860216,0.02473117337420473
COVID,HS,p5,0.05_0.1,0,,,,,,,,,,
COVID,HS,p5,0.1_0.2,0,,,,,,,,,,
COVID,HS,p5,0.2_1.000001,0,,,,,,,,,,
COVID,FHS,RISK,LOW,1,1.0,-41.450608042134476,1.0,0.08023352793994996,1.0,0.004170141784820684,0.09557663595927846,0.011175265198919353,,
COVID,FHS,RISK,MID,7,0.2857142857142857,-10.482487514744728,0.42857142857142855,0.1665549472425451,0.2857142857142857,0.02718628155400585,0.062306941130953045,0.018070029592282065,,
COVID,FHS,RISK,HIGH,85,0.09411764705882353,-0.0827374100748442,0.24705882352941178,0.27341535459921756,0.12941176470588237,0.13634930122283312,0.040274332945318944,0.04056628684327407,,
COVID,FHS,p2,0_0.01,0,,,,,,,,,,
COVID,FHS,p2,0.01_0.05,0,,,,,,,,,,
COVID,FHS,p2,0.05_0.1,1,,,,,,,,,1.0,0.08023352793994996
COVID,FHS,p2,0.1_0.2,8,,,,,,,,,0.375,0.1703764901794756
COVID,FHS,p2,0.2_1.000001,84,,,,,,,,,0.25,0.27432354583566076
COVID,FHS,p5,0_0.01,3,,,,,,,,,1.0,0.007395051431748678
COVID,FHS,p5,0.01_0.05,10,,,,,,,,,0.0,0.0406754204863462
COVID,FHS,p5,0.05_0.1,28,,,,,,,,,0.03571428571428571,0.07192812692432492
COVID,FHS,p5,0.1_0.2,27,,,,,,,,,0.2222222222222222,0.13239635813037448
COVID,FHS,p5,0.2_1.000001,25,,,,,,,,,0.16,0.23066144536175034
2022,HS,RISK,LOW,2,0.0,0.36243615465966633,0.5,0.1416885321808921,0.0,0.024077789782373824,0.03238857552769875,0.01681278580597377,,
2022,HS,RISK,MID,98,0.15306122448979592,-0.4027300094047627,0.3979591836734694,0.1449066371564587,0.09183673469387756,0.0250322726465607,0.028239190628757346,0.017013290718301537,,
2022,HS,RISK,HIGH,151,0.11258278145695365,-0.4827000026948885,0.24503311258278146,0.1452020124229755,0.052980132450331126,0.025038584143146313,0.026850742468050463,0.017015759053690894,,
2022,HS,p2,0_0.01,0,,,,,,,,,,
2022,HS,p2,0.01_0.05,0,,,,,,,,,,
2022,HS,p2,0.05_0.1,0,,,,,,,,,,
2022,HS,p2,0.1_0.2,251,,,,,,,,,0.30677290836653387,0.14505869076320332
2022,HS,p2,0.2_1.000001,0,,,,,,,,,,
2022,HS,p5,0_0.01,0,,,,,,,,,,
2022,HS,p5,0.01_0.05,251,,,,,,,,,0.06772908366533864,0.025028464161525054
2022,HS,p5,0.05_0.1,0,,,,,,,,,,
2022,HS,p5,0.1_0.2,0,,,,,,,,,,
2022,HS,p5,0.2_1.000001,0,,,,,,,,,,
2022,FHS,RISK,LOW,2,0.5,-0.6986669129808796,0.5,0.09422750424448217,0.0,0.006405309461336626,0.03238857552769875,0.012175387828850606,,
2022,FHS,RISK,MID,98,0.15306122448979592,-0.6580974363955899,0.3979591836734694,0.16849096015148973,0.09183673469387756,0.026268558674587897,0.028239190628757346,0.018056629724454668,,
2022,FHS,RISK,HIGH,151,0.052980132450331126,-0.07091346498099856,0.24503311258278146,0.22312812931338255,0.052980132450331126,0.06565788376798817,0.026850742468050463,0.025336611450859418,,
2022,FHS,p2,0_0.01,0,,,,,,,,,,
2022,FHS,p2,0.01_0.05,0,,,,,,,,,,
2022,FHS,p2,0.05_0.1,2,,,,,,,,,0.5,0.09422750424448217
2022,FHS,p2,0.1_0.2,106,,,,,,,,,0.37735849056603776,0.17065200828802074
2022,FHS,p2,0.2_1.000001,143,,,,,,,,,0.2517482517482518,0.22458285834011577
2022,FHS,p5,0_0.01,4,,,,,,,,,0.0,0.007832998919586356
2022,FHS,p5,0.01_0.05,131,,,,,,,,,0.07633587786259542,0.03175646222614226
2022,FHS,p5,0.05_0.1,110,,,,,,,,,0.06363636363636363,0.0694069376597901
2022,FHS,p5,0.1_0.2,6,,,,,,,,,0.0,0.11254635468643469
2022,FHS,p5,0.2_1.000001,0,,,,,,,,,,
2023_PLUS,HS,RISK,LOW,407,0.007371007371007371,0.358184950397392,0.056511056511056514,0.14493235972678029,0.0,0.0246662728574758,0.009748152588853221,0.016951242146562507,,
2023_PLUS,HS,RISK,MID,449,0.022271714922048998,0.13677570590884935,0.12249443207126949,0.14454226801027348,0.015590200445434299,0.024586085347602312,0.014774529976000579,0.016924837683623798,,
2023_PLUS,HS,RISK,HIGH,55,0.01818181818181818,0.3183787082361728,0.05454545454545454,0.14467946816070723,0.0,0.024433322860220607,0.015198485695390255,0.016903269105292783,,
2023_PLUS,HS,p2,0_0.01,0,,,,,,,,,,
2023_PLUS,HS,p2,0.01_0.05,0,,,,,,,,,,
2023_PLUS,HS,p2,0.05_0.1,0,,,,,,,,,,
2023_PLUS,HS,p2,0.1_0.2,911,,,,,,,,,0.0889132821075741,0.14472482930214187
2023_PLUS,HS,p2,0.2_1.000001,0,,,,,,,,,,
2023_PLUS,HS,p5,0_0.01,0,,,,,,,,,,
2023_PLUS,HS,p5,0.01_0.05,911,,,,,,,,,0.007683863885839737,0.024612687301183562
2023_PLUS,HS,p5,0.05_0.1,0,,,,,,,,,,
2023_PLUS,HS,p5,0.1_0.2,0,,,,,,,,,,
2023_PLUS,HS,p5,0.2_1.000001,0,,,,,,,,,,
2023_PLUS,FHS,RISK,LOW,407,0.044226044226044224,0.11402260143165055,0.056511056511056514,0.07642643087003345,0.0,0.004485428427262639,0.009748152588853221,0.01098927569017818,,
2023_PLUS,FHS,RISK,MID,449,0.0400890868596882,0.050929609759973175,0.12249443207126949,0.14437638173300268,0.015590200445434299,0.017835019129962115,0.014774529976000579,0.01593192091003607,,
2023_PLUS,FHS,RISK,HIGH,55,0.0,0.3081270459098045,0.05454545454545454,0.23454928556376456,0.0,0.08224009968234895,0.015198485695390255,0.028211575722514003,,
2023_PLUS,FHS,p2,0_0.01,0,,,,,,,,,,
2023_PLUS,FHS,p2,0.01_0.05,42,,,,,,,,,0.09523809523809523,0.04150299298424155
2023_PLUS,FHS,p2,0.05_0.1,311,,,,,,,,,0.05466237942122187,0.07662089321044498
2023_PLUS,FHS,p2,0.1_0.2,509,,,,,,,,,0.11394891944990176,0.14054453381749063
2023_PLUS,FHS,p2,0.2_1.000001,49,,,,,,,,,0.04081632653061224,0.23921167880284896
2023_PLUS,FHS,p5,0_0.01,485,,,,,,,,,0.0,0.005179181150726836
2023_PLUS,FHS,p5,0.01_0.05,389,,,,,,,,,0.017994858611825194,0.020894254234498314
2023_PLUS,FHS,p5,0.05_0.1,24,,,,,,,,,0.0,0.07617055916561384
2023_PLUS,FHS,p5,0.1_0.2,13,,,,,,,,,0.0,0.14529517434469114
2023_PLUS,FHS,p5,0.2_1.000001,0,,,,,,,,,,
