period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
2022,21,FHS|HS|BRIER5,FHS_VALUE,0.0032737247032562093,1.0,-0.0019359029982192733,0.009341795858876824,-0.0036031470061642754,0.010150596412676694,FHS,HS,BRIER5,251,0.027478258333632415
2022,21,FHS|HS|DD_MSE,FHS_VALUE,0.00018670925751169764,1.0,6.921091471192866e-05,0.0003133641758211202,3.803002423227294e-05,0.0003353884907911223,FHS,HS,DD_MSE,251,0.2145696633468666
2023_PLUS,21,FHS|HS|PINBALL,FHS_VALUE,2.6265991455136272e-05,1.0,-0.00015669058134024742,0.00021078688562315795,-0.00020138741947854627,0.00025391940238881885,FHS,HS,PINBALL,911,0.008815431464459194
2023_PLUS,21,FHS|HS|FZ0,FHS_VALUE,0.05721178448135881,1.0,-0.027316844651522655,0.14085148500530456,-0.04808564508631665,0.16250921404903426,FHS,HS,FZ0,911,
2023_PLUS,21,FHS|HS|BRIER2,FHS_VALUE,-0.00048661584554358055,1.0,-0.003927534513930592,0.002686222462052519,-0.004600560449742779,0.0036273287586556175,FHS,HS,BRIER2,911,-0.0037386633348283718
2023_PLUS,21,FHS|HS|BRIER5,FHS_VALUE,-0.00017966126003843744,1.0,-0.0009513274136593826,0.0005097698750658119,-0.0011150388354932341,0.0007557163154163593,FHS,HS,BRIER5,911,-0.010125272370081023
2023_PLUS,21,FHS|HS|DD_MSE,FHS_VALUE,5.4498672791191815e-06,1.0,-2.2311859831684416e-05,3.4039193205816204e-05,-2.991095736929759e-05,4.0810691927535955e-05,FHS,HS,DD_MSE,911,0.020055432935877707
2024_PLUS,21,FHS|HS|PINBALL,FHS_VALUE,3.1603285410629276e-05,1.0,-0.000210093460702756,0.00026836033620035465,-0.00025240930161854914,0.0003156158724398077,FHS,HS,PINBALL,661,0.010243112754059315
2024_PLUS,21,FHS|HS|FZ0,FHS_VALUE,0.06130946908742573,1.0,-0.04930133558780814,0.16754707392708224,-0.07045634689370797,0.19307528506855945,FHS,HS,FZ0,661,
2024_PLUS,21,FHS|HS|BRIER2,FHS_VALUE,0.00010234511788806254,1.0,-0.004409238092460795,0.004105750278721053,-0.004905728591092707,0.0051104188268688315,FHS,HS,BRIER2,661,0.0007415270037749889
2024_PLUS,21,FHS|HS|BRIER5,FHS_VALUE,-0.0003261255528243118,1.0,-0.001336475287898232,0.0005986189236704652,-0.0015014621471730544,0.0008492110415244309,FHS,HS,BRIER5,661,-0.013679578122747983
2024_PLUS,21,FHS|HS|DD_MSE,FHS_VALUE,5.405341728260506e-06,1.0,-3.2051916789869615e-05,4.323491951491473e-05,-4.008168313431074e-05,5.089236659083176e-05,FHS,HS,DD_MSE,661,0.016961437279344186
EX_MAJOR_SHOCKS,21,FHS|HS|PINBALL,FHS_VALUE,0.00023029053545698837,1.0,0.0001109676657624408,0.00034334768061976034,8.838495853276244e-05,0.0003721961123812143,FHS,HS,PINBALL,3972,0.07736095848538391
EX_MAJOR_SHOCKS,21,FHS|HS|FZ0,FHS_VALUE,0.143395863378982,1.0,0.07289050145921215,0.2091978379397369,0.05959316144123375,0.22719856531673024,FHS,HS,FZ0,3972,
EX_MAJOR_SHOCKS,21,FHS|HS|BRIER2,FHS_VALUE,0.003926352629024614,1.0,0.001556863680802839,0.006378785478797144,0.000992270534339945,0.006860434723709282,FHS,HS,BRIER2,3972,0.03159386655882155
EX_MAJOR_SHOCKS,21,FHS|HS|BRIER5,FHS_VALUE,0.00048731692110499085,1.0,-1.740219882709266e-05,0.0009470862948023419,-0.00010312779655379602,0.0010777616387637778,FHS,HS,BRIER5,3972,0.025497561153757942
EX_MAJOR_SHOCKS,21,FHS|HS|DD_MSE,FHS_VALUE,3.8277332386558815e-05,1.0,2.2666341904009217e-05,5.3644500047507846e-05,1.905329676528302e-05,5.7501368007834605e-05,FHS,HS,DD_MSE,3972,0.1339841811845996
NONOVERLAP5_0,21,FHS|HS|PINBALL,FHS_VALUE,0.0002267559518107359,1.0,1.6876908332316646e-05,0.0004402491100692217,-3.5566763164346284e-05,0.0004890786667858181,FHS,HS,PINBALL,1017,0.06351183874559121
NONOVERLAP5_0,21,FHS|HS|FZ0,FHS_VALUE,0.12066336436781984,1.0,0.0062002686390822195,0.23171683349054562,-0.01859131992849379,0.2599180486641335,FHS,HS,FZ0,1017,
NONOVERLAP5_0,21,FHS|HS|BRIER2,FHS_VALUE,0.005077832500621049,1.0,0.002064353672640332,0.007946601857467967,0.0013732621004011502,0.008782402900840949,FHS,HS,BRIER2,1017,0.03614450467609944
NONOVERLAP5_0,21,FHS|HS|BRIER5,FHS_VALUE,0.0003616771590656215,1.0,-0.0008968441033799106,0.0017918167580889715,-0.0013138247302724006,0.0020371790484036436,FHS,HS,BRIER5,1017,0.011457823860737881
NONOVERLAP5_0,21,FHS|HS|DD_MSE,FHS_VALUE,7.171232235720752e-05,1.0,3.817179710827719e-05,0.00011264103451659079,2.4208218358832835e-05,0.00011921642635558219,FHS,HS,DD_MSE,1017,0.1761321481341088
NONOVERLAP5_1,21,FHS|HS|PINBALL,FHS_VALUE,0.00029549931491726133,1.0,7.410499656646418e-05,0.0005323996622943086,1.1504456762401357e-05,0.0005794941730721214,FHS,HS,PINBALL,1017,0.0830088752114418
NONOVERLAP5_1,21,FHS|HS|FZ0,FHS_VALUE,0.13955000753615307,1.0,0.03422984518631241,0.23823864088190072,0.012354898100326167,0.26674511697198,FHS,HS,FZ0,1017,
NONOVERLAP5_1,21,FHS|HS|BRIER2,FHS_VALUE,0.005058918916872247,1.0,0.0016944519962508128,0.00831663627780055,0.000902241335584795,0.0092155964981597,FHS,HS,BRIER2,1017,0.034892188070326534
NONOVERLAP5_1,21,FHS|HS|BRIER5,FHS_VALUE,0.0018613706701408508,1.0,0.00018214434905381387,0.0038162305835366802,-0.0004876407773771725,0.004210382117658874,FHS,HS,BRIER5,1017,0.04922645328820249
NONOVERLAP5_1,21,FHS|HS|DD_MSE,FHS_VALUE,7.612725947806207e-05,1.0,3.566439816739492e-05,0.00012650940353454418,1.9126524375374183e-05,0.00013312799458074995,FHS,HS,DD_MSE,1017,0.18367643138023784
NONOVERLAP5_2,21,FHS|HS|PINBALL,FHS_VALUE,0.0004136773666954133,1.0,0.00011551168193401093,0.0007522134187403257,1.793034025400871e-05,0.0008094243931368178,FHS,HS,PINBALL,1017,0.11966455870990328
NONOVERLAP5_2,21,FHS|HS|FZ0,FHS_VALUE,0.18902848269107775,1.0,0.06571771978235544,0.3222606326966322,0.031885920379325805,0.3461710450028297,FHS,HS,FZ0,1017,
NONOVERLAP5_2,21,FHS|HS|BRIER2,FHS_VALUE,0.0044897736114699925,1.0,0.0011729043555672404,0.0079016151656886,0.00027601003712206165,0.008703537185817924,FHS,HS,BRIER2,1017,0.03155343043789687
NONOVERLAP5_2,21,FHS|HS|BRIER5,FHS_VALUE,0.0016032838063712574,1.0,3.203080695645366e-05,0.0034121413539025263,-0.0005449978027881753,0.00375156541553069,FHS,HS,BRIER5,1017,0.04672651373395363
NONOVERLAP5_2,21,FHS|HS|DD_MSE,FHS_VALUE,8.083494404895822e-05,1.0,3.478465512028371e-05,0.00014353140760028053,1.2960011768082478e-05,0.00014870987632983396,FHS,HS,DD_MSE,1017,0.1923445512588179
