period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
2018Q4,HS,p5,0.1_0.2,0,,,,,,,,,,
2018Q4,HS,p5,0.2_1.000001,0,,,,,,,,,,
2018Q4,FHS,RISK,LOW,3,1.0,-11.86911411198784,1.0,0.1061010101010101,0.3333333333333333,0.006141414141414141,0.05298872147693487,0.01296914024674844,,
2018Q4,FHS,RISK,MID,24,0.125,0.09239034992717383,0.7083333333333334,0.2130111208697093,0.16666666666666666,0.05758474040137009,0.04806144286257411,0.023466323262814007,,
2018Q4,FHS,RISK,HIGH,36,0.08333333333333333,0.003337224895992866,0.3055555555555556,0.2640335279167485,0.08333333333333333,0.10483583647673538,0.03587560056438078,0.0315544133817153,,
2018Q4,FHS,p2,0_0.01,0,,,,,,,,,,
2018Q4,FHS,p2,0.01_0.05,0,,,,,,,,,,
2018Q4,FHS,p2,0.05_0.1,0,,,,,,,,,,
2018Q4,FHS,p2,0.1_0.2,8,,,,,,,,,0.75,0.14415151515151514
2018Q4,FHS,p2,0.2_1.000001,55,,,,,,,,,0.45454545454545453,0.2505920875448523
2018Q4,FHS,p5,0_0.01,3,,,,,,,,,0.3333333333333333,0.006141414141414141
2018Q4,FHS,p5,0.01_0.05,7,,,,,,,,,0.0,0.03154889019691334
2018Q4,FHS,p5,0.05_0.1,36,,,,,,,,,0.19444444444444445,0.07988994879036175
2018Q4,FHS,p5,0.1_0.2,17,,,,,,,,,0.0,0.12113197029199639
2018Q4,FHS,p5,0.2_1.000001,0,,,,,,,,,,
COVID,HS,RISK,LOW,1,1.0,-19.33109606732349,1.0,0.17081371889710828,1.0,0.03609056265411343,0.1080945285868482,0.019302056501083426,,
COVID,HS,RISK,MID,34,0.058823529411764705,-0.725628391924202,0.11764705882352941,0.17218668659854477,0.058823529411764705,0.03824041164841436,0.027648772056778934,0.019690158530409077,,
COVID,HS,RISK,HIGH,58,0.13793103448275862,-2.0322909625120307,0.2413793103448276,0.17211135853751874,0.13793103448275862,0.037780924787121986,0.04524575801475757,0.019534577845035265,,
COVID,HS,p2,0_0.01,0,,,,,,,,,,
COVID,HS,p2,0.01_0.05,0,,,,,,,,,,
COVID,HS,p2,0.05_0.1,0,,,,,,,,,,
COVID,HS,p2,0.1_0.2,93,,,,,,,,,0.20430107526881722,0.17212494471423354
COVID,HS,p2,0.2_1.000001,0,,,,,,,,,,
COVID,HS,p5,0_0.01,0,,,,,,,,,,
COVID,HS,p5,0.01_0.05,93,,,,,,,,,0.11827956989247312,0.03793073329412126
COVID,HS,p5,0.05_0.1,0,,,,,,,,,,
COVID,HS,p5,0.1_0.2,0,,,,,,,,,,
COVID,HS,p5,0.2_1.000001,0,,,,,,,,,,
COVID,FHS,RISK,LOW,1,1.0,-33.416400398334055,1.0,0.12889486662183366,1.0,0.010311589329746693,0.1080945285868482,0.014712456383788078,,
COVID,FHS,RISK,MID,34,0.058823529411764705,-1.0697548093291116,0.11764705882352941,0.2090260302142986,0.058823529411764705,0.05446892712040031,0.027648772056778934,0.023008402327613618,,
COVID,FHS,RISK,HIGH,58,0.034482758620689655,0.14823886857939203,0.2413793103448276,0.30120065407358526,0.13793103448275862,0.1713569032279957,0.04524575801475757,0.04835640539837281,,
COVID,FHS,p2,0_0.01,0,,,,,,,,,,
COVID,FHS,p2,0.01_0.05,0,,,,,,,,,,
COVID,FHS,p2,0.05_0.1,0,,,,,,,,,,
COVID,FHS,p2,0.1_0.2,11,,,,,,,,,0.36363636363636365,0.1766902111506453
COVID,FHS,p2,0.2_1.000001,82,,,,,,,,,0.18292682926829268,0.27758323789657113
COVID,FHS,p5,0_0.01,0,,,,,,,,,,
