cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,1,1,2024_PLUS,VOL,0.8952602158606169,1.1765033391952784e-12,0.895376315052363,0.8953763150511865
PROXY,1,1,EX_MAJOR_SHOCKS,VOL,0.8875969331929809,5.6955551386295156e-12,0.887684775082641,0.8876847750883365
PROXY,1,1,ALL,CORE_VOL,0.9222601852452499,2.433608869978343e-13,0.9222875423376179,0.9222875423378613
PROXY,1,1,DOTCOM,CORE_VOL,0.8159869038427132,2.4181767699360535e-12,0.8158013841677363,0.8158013841701545
PROXY,1,1,GFC,CORE_VOL,0.8358457721988088,5.493272503542812e-12,0.8355868277156335,0.8355868277211268
PROXY,1,1,2011,CORE_VOL,0.8662836892253836,2.617461802856269e-12,0.8662652337683711,0.8662652337709885
PROXY,1,1,2015_2016,CORE_VOL,0.9536081078622374,2.5891511157283276e-12,0.953604539015193,0.9536045390177822
PROXY,1,1,2018Q4,CORE_VOL,0.8565777393305325,3.2921443349209767e-12,0.8553036911367056,0.8553036911334134
PROXY,1,1,COVID,CORE_VOL,0.7130021668490372,4.998224056862455e-12,0.7125296897718995,0.7125296897768977
PROXY,1,1,2022,CORE_VOL,0.8153539723498398,6.960210185980031e-12,0.8151150821078896,0.8151150821009294
PROXY,1,1,2023_PLUS,CORE_VOL,0.9497550647574826,8.030243137113757e-13,0.9498054959942168,0.9498054959950198
PROXY,1,1,2024_PLUS,CORE_VOL,0.9476857690679026,2.7450264283856995e-12,0.94774669893928,0.947746698936535
PROXY,1,1,EX_MAJOR_SHOCKS,CORE_VOL,0.9438150280257105,6.403766406037903e-12,0.9438612527717716,0.9438612527653678
PROXY,1,3,ALL,VOL,0.8445511818208615,4.878764059412788e-12,0.8446038130874894,0.8446038130826107
PROXY,1,3,DOTCOM,VOL,0.6318003445994691,1.9929613515046185e-12,0.6315278539664005,0.6315278539683935
PROXY,1,3,GFC,VOL,0.6720532902618288,1.7548185127225224e-12,0.6716618250412327,0.6716618250394779
PROXY,1,3,2011,VOL,0.7325194353834377,3.9546144137148076e-13,0.7324980373553993,0.7324980373550039
PROXY,1,3,2015_2016,VOL,0.9071996974016656,4.747424675599632e-12,0.9071934859054573,0.9071934859102048
PROXY,1,3,2018Q4,VOL,0.7132382328636595,2.1163071295404734e-12,0.7111284890911572,0.7111284890932735
PROXY,1,3,COVID,VOL,0.4257745118011371,1.461053500406706e-13,0.4253160605445798,0.4253160605444337
PROXY,1,3,2022,VOL,0.6305115588984336,6.1379790139426404e-12,0.6301577159864595,0.6301577159803216
