cash_mode,offset,cost_bps,period,rule,identity_error,CAGR_link_error,CAGR_gap,matched_target,dynamic_average,static_average,matched_CAGR_gap,Return_Retention,annual_cost,annual_exposure_opportunity,CAGR_exposure_opportunity,annual_dynamic_timing,CAGR_dynamic_timing,annual_cash,CAGR_cash,CAGR_cost,annual_interaction,CAGR_interaction,annual_vol_total_reduction,annual_vol_lower_exposure_effect,annual_vol_dynamic_effect,annual_vol_dynamic_fraction,annual_vol_BH_reduction,ES95_5D_total_reduction,ES95_5D_lower_exposure_effect,ES95_5D_dynamic_effect,ES95_5D_dynamic_fraction,ES95_5D_BH_reduction,MaxDD_total_reduction,MaxDD_lower_exposure_effect,MaxDD_dynamic_effect,MaxDD_dynamic_fraction,MaxDD_BH_reduction
PROXY,1,3,2023_PLUS,CORE_VOL,4.647974713445358e-16,1.0061396160665481e-16,-0.023815049484700257,0.9497550647574826,0.9498054959942166,0.9498054959950198,-0.014908755864694423,0.8943491318127825,-0.00046545170834158973,-0.01083817049049046,-0.011749022551679953,-0.013154538585766392,-0.01422065139876093,0.0022515687497968117,0.002716993400015143,-0.0005619244257851632,-4.5168447953223456e-07,-4.445084894533294e-07,0.01737832654389232,0.007707940194270152,0.009670386349622168,0.06635574103145714,0.11325559305541988,0.005094440387958837,0.0023922832539209,0.002702157134037937,0.0610009054342322,0.10911369775616475,0.01837403309585295,0.009516970124721191,0.008857062971131757,0.047075631511590554,0.09295666226223942
PROXY,1,3,2024_PLUS,CORE_VOL,4.647974713445358e-16,1.3530843112619095e-16,-0.02804669284636041,0.9476857690679026,0.94774669893928,0.9477466989365347,-0.01921780807421483,0.8707693209379066,-0.0005347096025261476,-0.010973195286988374,-0.011647597940201104,-0.017171879553131965,-0.018490634421110142,0.0022834101321273195,0.0027320764231872465,-0.0006401966443383692,-3.9190902522841856e-07,-3.402638979048908e-07,0.020106971734065893,0.008366674821667947,0.011740296912397946,0.07743954981138934,0.1256900742503857,0.006385370541380123,0.0027654801476634863,0.0036198903937166363,0.07356647047861198,0.12286365876805971,0.018374033095852838,0.009910442660859275,0.008463590434993562,0.04507858361755068,0.09295666226223886
PROXY,1,3,EX_MAJOR_SHOCKS,CORE_VOL,4.647974713445358e-16,6.713379852030243e-16,-0.014602876489047734,0.9438150280257105,0.9438612527717716,0.9438612527653676,-0.007187816479947984,0.9040190957153187,-0.0003658260141237887,-0.008609584244659404,-0.00845908653302919,-0.007326063400970069,-0.006653846541355899,0.0008126098511355965,0.0009283610145977448,-0.0004179009927490611,-3.9521649865375577e-07,-4.034365119991023e-07,0.019126602689721633,0.00855773790820033,0.010568864781521303,0.07382343217839482,0.12606361558545454,0.005760031407968727,0.002564250070461467,0.00319578133750726,0.07474931306373578,0.12710371136991439,0.04485090033152328,0.016206729714327017,0.028644170617196263,0.09071633252975564,0.13510849032009453
PROXY,2,0,ALL,VOL,5.12719207368395e-16,4.579669976578771e-16,-0.016041345645186986,0.8466030653144117,0.8466623286629389,0.8466623286577691,-0.004315643733381724,0.8467841729782086,0.0,-0.01795016132317087,-0.015011511459990587,-0.008706868963649247,-0.0033149962040155373,0.0020880928873054476,0.002285162018819596,0.0,0.0,0.0,0.06436439135362475,0.02871166920093529,0.035652722152689456,0.22703037932443826,0.3465087981895667,0.019033267914513527,0.008924339906568067,0.01010892800794546,0.20646558086254463,0.3288052288036345,0.23790057914188845,0.0644483699883589,0.17345220915352955,0.3541425057080858,0.429245843846347
PROXY,2,0,DOTCOM,VOL,4.479923376710104e-16,2.463307335887066e-16,-0.008757634561117097,0.6230530300890678,0.622810324036442,0.6228103240357039,-0.052421028824250156,,0.0,0.01886411899568364,0.03550375335900878,-0.06045589719965903,-0.05021869963253808,0.006525781845336908,0.005957311712412452,0.0,0.0,0.0,0.1261079281924037,0.10085385800069566,0.025254070191708056,0.1525694622733763,0.4734155640876806,0.041405374432175325,0.02945856349051372,0.011946810941661605,0.2470741527741328,0.5321227130966549,0.10611452075830652,0.1139730286825612,-0.007858507924254687,-0.03605000609074205,0.3196585262440863
PROXY,2,0,GFC,VOL,4.955888130431241e-16,1.5057399771478686e-15,0.051800867650701105,0.6706098827489768,0.6702300279687011,0.6702300279676976,0.021791095381435775,,0.0,0.004333932669026826,0.0234687263593464,0.01153826747870073,0.024802247445238915,0.00362556976275903,0.0035298938461173,0.0,0.0,0.0,0.1583870712767708,0.09708669975479675,0.06130037152197404,0.3145083734904658,0.5424302983638304,0.045932030842088446,0.027554270886525012,0.018377759955563434,0.32889346458879143,0.5505337426749543,0.23790057914188856,0.14786951791406766,0.0900310612278209,0.22155510492093333,0.4292458438463469
PROXY,2,0,2011,VOL,4.2283884726934673e-16,5.134781488891349e-16,-0.04077207279895462,0.7421455071380478,0.7418979671263709,0.7418979671283431,-0.04143311507201506,-1.6131397436324675,0.0,-0.010047120229878,-0.0005379828068519484,-0.045614852560801576,-0.04029994850625357,6.562720951021583e-05,6.585851415038253e-05,0.0,0.0,0.0,0.08574205967767323,0.05650076627462844,0.029241293403044794,0.18202488410031614,0.394860398540851,0.01865924704171136,0.017735658084071675,0.0009235889576396858,0.01809648710252687,0.2713181280225839,0.04575617885290839,0.0502946070240925,-0.004538428171184106,-0.03001513523213828,0.22707864220352614
PROXY,2,0,2015_2016,VOL,4.440892098500626e-16,3.400058012914542e-16,-0.024210719381416286,0.9103852514890605,0.9104630913837948,0.9104630913860209,-0.019221516846592755,0.6315706845923725,0.0,-0.006614557771506434,-0.005192223514717598,-0.019324241991783182,-0.01916939164191365,0.00014321874406115405,0.00015089577521530158,0.0,0.0,0.0,0.021513237192452017,0.01290371025012127,0.008609526942330747,0.06599890845630674,0.15007150414370019,0.005455142791837474,0.00461489409564253,0.0008402486961949437,0.017935675811722174,0.10600168893151751,0.007289560978071763,0.012239798679709701,-0.004950237701637938,-0.04087221377617345,0.05466291186101002
PROXY,2,0,2018Q4,VOL,3.5648567431323386e-16,4.510281037539698e-16,0.052122373872807104,0.7147620860705501,0.7145351886765501,0.7145351886827773,-0.060448098459180255,,0.0,0.16776635069633125,0.10220684492036698,-0.0961085552042667,-0.054035529691325954,0.007004802158245699,0.003951058643766526,0.0,0.0,0.0,0.0688480920393908,0.0678222522289269,0.001025839810463891,0.0060653112418093125,0.2905540425939561,0.02468391424647509,0.020985993434242123,0.0036979208122329688,0.07094791784000176,0.33763805422093485,0.043822253854511994,0.05283949077578909,-0.009017236921277094,-0.06611871938652958,0.23159544964289258
PROXY,2,0,COVID,VOL,3.616898447411643e-16,2.598615767013257e-15,-0.029268168277202522,0.42626263786951313,0.4268370294866245,0.4268370294874174,-0.18057075662960687,,0.0,0.09710086315754764,0.12813737991233226,-0.21361262384729363,-0.1586201421360328,0.0015838752277710787,0.0012145939465006046,0.0,0.0,0.0,0.25496441683347004,0.24521249375229623,0.009751923081173841,0.05388902133152029,0.5982614554313266,0.06502431609713577,0.0922671025483397,-0.027242786451203926,-0.39867191219755416,0.40488126168949956,0.1536836744856903,0.17396922365667233,-0.02028554917098202,-0.13844878215184542,0.4795280050950522
