cash_mode,offset,cost_bps,period,rule,cycles,high_positive_n,high_negative_n,high_positive_participation,rebound_participation,rebound_n,high_missed_upside,high_downside_avoided,missed_upside_per_downside_avoided,all_positive_participation,all_negative_participation
PROXY,1,0,2018Q4,CORE_VOL,12,3,2,0.7768244400705855,0.7779668213574211,2,0.014838156644079614,0.016256131191776206,0.9127729389626279,0.7768244400705855,0.8659480679200167
PROXY,1,0,COVID,CORE_VOL,18,10,6,0.6758437417732109,0.663721676353571,3,0.1225408424164202,0.11198177371440177,1.0942927438258683,0.6758437417732109,0.733110173364848
PROXY,1,0,2022,CORE_VOL,49,16,16,0.7571894275134068,0.7418219213950331,8,0.09343342014619858,0.06875568282352659,1.3589192385160611,0.7796194516563077,0.8429826870490598
PROXY,1,0,2023_PLUS,CORE_VOL,183,10,3,0.7405617668005844,0.7293743015119898,1,0.09940172024304511,0.01748521002410909,5.68490284680523,0.9134016379681185,0.9323181922485747
PROXY,1,0,2024_PLUS,CORE_VOL,133,9,2,0.7338736096571831,0.7293743015119898,1,0.0932572396767532,0.01678398867621832,5.556321651294478,0.9011598928559055,0.9260993565847382
PROXY,1,0,EX_MAJOR_SHOCKS,CORE_VOL,1031,69,41,0.742820926352056,0.7478792793645974,25,0.47903538680413704,0.2670891390833917,1.7935412441258818,0.910584887705577,0.9168447675984195
PROXY,1,1,ALL,VOL,1254,125,97,0.44808620504537416,0.4789400778361686,47,2.027967908481454,1.6988406139575507,1.193736417542539,0.7548384624675498,0.7395153900202377
PROXY,1,1,DOTCOM,VOL,63,16,15,0.4408353649315819,0.44841201281812026,10,0.2603086888961282,0.20802969188002188,1.2513054580990173,0.5274689195142421,0.6419204037930446
PROXY,1,1,GFC,VOL,150,29,34,0.38637467932971004,0.5036766675775128,10,0.6231963587024901,0.8031874227149105,0.7759040307130061,0.5606329698305367,0.5233690276759426
PROXY,1,1,2011,VOL,50,11,8,0.4420747434347352,0.5532945154926547,3,0.1935313733520589,0.11830448726550585,1.6358751711397426,0.6038809414412571,0.678791629771324
PROXY,1,1,2015_2016,VOL,100,9,3,0.5443083639215008,0.5974885321845138,3,0.07009278827188764,0.04404822976031644,1.5912736710031203,0.8311891919451339,0.8793902254605468
PROXY,1,1,2018Q4,VOL,12,3,2,0.5536488801411709,0.5559336427148422,2,0.029676313288159225,0.0325122623835524,0.9127729389626281,0.5536488801411709,0.7318961358400331
PROXY,1,1,COVID,VOL,18,10,6,0.3516874835464219,0.3274433527071422,3,0.2450816848328404,0.22396354742880356,1.094292743825868,0.3516874835464219,0.46622034672969587
PROXY,1,1,2022,VOL,49,16,16,0.5143788550268138,0.48364384279006645,8,0.18686684029239714,0.13751136564705324,1.3589192385160604,0.5592389033126155,0.6859653740981192
PROXY,1,1,2023_PLUS,VOL,183,10,3,0.48112353360116883,0.45874860302397946,1,0.19880344048609022,0.034970420048218195,5.684902846805228,0.8268032759362369,0.864636384497149
PROXY,1,1,2024_PLUS,VOL,133,9,2,0.46774721931436586,0.45874860302397946,1,0.1865144793535064,0.033567977352436655,5.556321651294476,0.8023197857118112,0.8521987131694764
PROXY,1,1,EX_MAJOR_SHOCKS,VOL,1031,69,41,0.48564185270411214,0.495758558729195,25,0.9580707736082741,0.5341782781667834,1.7935412441258818,0.821169775411154,0.8336895351968387
PROXY,1,1,ALL,CORE_VOL,1254,125,97,0.7240431025226871,0.7394700389180842,47,1.013983954240727,0.8494203069787756,1.1937364175425387,0.877419231233775,0.8697576950101188
PROXY,1,1,DOTCOM,CORE_VOL,63,16,15,0.720417682465791,0.7242060064090602,10,0.1301543444480641,0.10401484594001092,1.2513054580990175,0.7637344597571211,0.8209602018965224
PROXY,1,1,GFC,CORE_VOL,150,29,34,0.6931873396648551,0.7518383337887564,10,0.31159817935124495,0.4015937113574553,0.7759040307130057,0.7803164849152685,0.7616845138379716
PROXY,1,1,2011,CORE_VOL,50,11,8,0.7210373717173675,0.7766472577463275,3,0.09676568667602944,0.05915224363275293,1.6358751711397426,0.8019404707206286,0.8393958148856621
PROXY,1,1,2015_2016,CORE_VOL,100,9,3,0.7721541819607504,0.798744266092257,3,0.035046394135943806,0.02202411488015821,1.5912736710031203,0.915594595972567,0.9396951127302734
PROXY,1,1,2018Q4,CORE_VOL,12,3,2,0.7768244400705855,0.7779668213574211,2,0.014838156644079612,0.016256131191776206,0.9127729389626278,0.7768244400705855,0.8659480679200166
PROXY,1,1,COVID,CORE_VOL,18,10,6,0.6758437417732109,0.6637216763535712,3,0.12254084241642021,0.11198177371440181,1.094292743825868,0.6758437417732109,0.733110173364848
PROXY,1,1,2022,CORE_VOL,49,16,16,0.7571894275134068,0.7418219213950331,8,0.09343342014619858,0.0687556828235266,1.358919238516061,0.7796194516563079,0.8429826870490598
PROXY,1,1,2023_PLUS,CORE_VOL,183,10,3,0.7405617668005844,0.7293743015119899,1,0.0994017202430451,0.01748521002410909,5.684902846805229,0.9134016379681185,0.9323181922485747
PROXY,1,1,2024_PLUS,CORE_VOL,133,9,2,0.7338736096571831,0.7293743015119899,1,0.09325723967675317,0.01678398867621832,5.556321651294477,0.9011598928559055,0.9260993565847383
PROXY,1,1,EX_MAJOR_SHOCKS,CORE_VOL,1031,69,41,0.742820926352056,0.7478792793645974,25,0.47903538680413704,0.2670891390833917,1.7935412441258818,0.910584887705577,0.9168447675984195
